Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,0.0,0.0,0,0.9999999918147395
Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,0.3,0.0,0,0.999861480550233
Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19,0.0,0.0,0,0.9999906093272964
Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,0.24,0.35,0,0.9962361433758246
Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,0.0,0.0,0,0.9996971556133947
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,0.0,0.0,0,0.9999999979587599
Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,0.0,0.24,0,0.9974144856401116
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,0.0,0.0,0,1.0
Marko Arnautović,at AUT,FW,Inter,it Serie A,35,0.68,0.34,0,0.9999466607761227
Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28,0.29,0.58,0,0.999999999998602
Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,0.0,0.0,0,1.0
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26,0.22,0.0,0,0.9967030432311992
Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,27,0.31,0.0,0,0.9907423763700204
Cédric Bakambu,cd COD,FW,Betis,es La Liga,33,0.25,0.25,0,0.9974201702557927
Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23,0.59,0.0,0,0.9999497124693816
Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,23,0.0,0.15,0,0.9991955829533511
Scott Banks,sct SCO,"FW,MF",St. Pauli,de Bundesliga,22,0.0,0.0,0,0.9999999995061124
Valentín Barco,ar ARG,"DF,FW",Sevilla,es La Liga,20,0.0,0.0,0,0.9999998521205289
Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,27,0.0,0.29,0,1.0
Michy Batshuayi,be BEL,FW,Eint Frankfurt,de Bundesliga,30,0.91,0.0,0,0.9999999999869811
Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,33,0.53,0.0,0,1.0
Andrea Belotti,it ITA,FW,Como,it Serie A,30,0.3,0.0,0,0.9987232177130372
Adrian Benedyczak,pl POL,"FW,MF",Parma,it Serie A,23,0.0,0.0,0,0.9999376933389659
Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,28,0.12,0.37,0,0.9905102277516766
Mergim Berisha,de GER,"FW,MF",Hoffenheim,de Bundesliga,26,0.27,0.27,0,0.9999965817764999
Jan-Niklas Beste,de GER,"FW,MF",Freiburg,de Bundesliga,25,0.0,0.42,0,0.9999998394917147
El Bilal Touré,ml MLI,"FW,MF",Stuttgart,de Bundesliga,22,0.5,0.25,0,0.9999841894845799
Saïmon Bouabré,fr FRA,"MF,FW",Monaco,fr Ligue 1,18,0.0,0.0,0,0.9999809709679193
Brenner,br BRA,"MF,FW",Udinese,it Serie A,24,0.23,0.47,0,0.999999008273894
