Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,0.25,0.08,2,0.9682715227691766
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,0.44,0.38,2,0.9999999999999951
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,0.16,0.16,2,0.9999999999999956
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,0.24,0.0,2,0.9999474583770747
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,0.16,0.05,2,1.0
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,0.15,0.0,2,0.9994561933234973
Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,0.0,0.17,2,0.9999999999599121
Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,0.17,0.22,2,1.0
Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,0.05,0.15,2,0.9999999999990301
Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,0.09,0.38,2,1.0
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,0.0,0.18,2,0.9999999999999996
Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,0.08,0.08,2,0.9999999990115489
Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,0.0,0.0,2,0.9999999987194386
Marcos André,br BRA,FW,Valladolid,es La Liga,27,0.08,0.15,2,0.9999999834052798
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,0.11,0.11,2,0.9966005712869901
Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,0.0,0.09,2,0.9999999999998836
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,0.1,0.0,2,0.9999999950474536
Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,0.26,0.15,2,0.9999998505215558
Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29,0.17,0.09,2,0.9973645910515226
Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,20,0.19,0.06,2,0.9999999999995248
Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,21,0.0,0.07,2,1.0
André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34,0.25,0.06,2,0.999999980491258
Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24,0.3,0.15,2,0.999375414559183
Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,26,0.08,0.16,2,0.9999999999998987
Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,24,0.19,0.1,2,0.9956990530762045
Ridle Baku,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,0.15,0.08,2,0.9999999999993632
