Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,0.23,0.31,3,0.9999854554592972
Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,0.42,0.14,3,0.9999999999998455
Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36,0.52,0.26,3,1.0
Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,21,0.96,0.15,3,1.0
Maximilian Breunig,de GER,"FW,MF",Heidenheim,de Bundesliga,23,0.51,0.0,3,0.9999999999880487
Ante Budimir,hr CRO,FW,Osasuna,es La Liga,33,0.64,0.12,3,0.9999996694439903
Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25,0.22,0.22,3,1.0
Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24,0.56,0.18,3,0.9976777974855364
Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28,0.43,0.29,3,1.0
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26,0.73,0.05,3,0.9916110309075294
Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24,0.51,0.0,3,0.9568685194089972
Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30,0.38,0.19,3,1.0
Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26,0.3,0.2,3,0.9999999999425366
Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,29,0.51,0.36,3,1.0
Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,it Serie A,27,0.43,0.07,3,0.9999999999864535
João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,22,0.46,0.28,3,0.999960566919203
Arnaud Kalimuendo,fr FRA,"FW,MF",Rennes,fr Ligue 1,22,0.59,0.1,3,0.9999999747204068
Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31,0.98,0.34,3,0.9999999999970921
Jesper Karlsson,se SWE,FW,Lecce,it Serie A,26,0.18,0.0,3,1.0
Randal Kolo Muani,fr FRA,FW,Paris S-G,fr Ligue 1,25,0.5,0.25,3,1.0
Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,33,0.66,0.09,3,0.9999439880210413
Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,23,0.68,0.37,3,0.9999999949945888
Gerard Moreno,es ESP,FW,Villarreal,es La Liga,32,0.38,0.25,3,1.0
Ibrahima Niane,sn SEN,FW,Angers,fr Ligue 1,25,0.29,0.1,3,0.9952549803142282
Dani Olmo,es ESP,"MF,FW",Barcelona,es La Liga,26,0.74,0.22,3,0.9999999999994778
Riccardo Orsolini,it ITA,FW,Bologna,it Serie A,27,0.72,0.19,3,0.999999999999245
Pedro,es ESP,"FW,MF",Lazio,it Serie A,37,0.82,0.08,3,1.0
Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,31,0.39,0.0,3,0.9999999999991029
Dani Raba,es ESP,"FW,MF",Leganés,es La Liga,28,0.38,0.29,3,0.9999999999999964
Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,23,0.85,0.25,3,0.99999999234692
Marcus Rashford,eng ENG,FW,Aston Villa,eng Premier League,26,0.41,0.41,3,1.0
Luka Romero,ar ARG,"FW,MF",Alavés,es La Liga,19,0.0,0.0,3,1.0
Abel Ruiz,es ESP,FW,Girona,es La Liga,24,0.27,0.0,3,0.9954444480399919
André Silva,pt POR,"FW,MF",RB Leipzig,de Bundesliga,28,0.67,1.33,3,1.0
André Silva,pt POR,FW,Werder Bremen,de Bundesliga,28,0.24,0.0,3,1.0
Cristhian Stuani,uy URU,FW,Girona,es La Liga,37,0.92,0.17,3,0.9999999992318251
Mamadou Sylla,sn SEN,"FW,MF",Valladolid,es La Liga,30,0.28,0.06,3,0.9995712970813793
Mehdi Taremi,ir IRN,FW,Inter,it Serie A,32,0.11,0.22,3,0.9999847416848155
Mathys Tel,fr FRA,FW,Tottenham,eng Premier League,19,0.2,0.1,3,1.0
Asier Villalibre,es ESP,FW,Alavés,es La Liga,26,0.27,0.27,3,1.0
Dušan Vlahović,rs SRB,FW,Juventus,it Serie A,24,0.51,0.2,3,0.9998988209391898
Elye Wahi,fr FRA,FW,Marseille,fr Ligue 1,21,0.47,0.16,3,0.9999999999814815
