Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24,0.25,0.0,6,1.0
Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30,0.27,0.0,6,1.0
Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,27,0.12,0.0,6,1.0
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29,0.45,0.11,6,1.0
David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,23,0.0,0.0,6,1.0
Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23,0.22,0.0,6,1.0
Jáder Durán,co COL,FW,Aston Villa,eng Premier League,20,0.99,0.0,6,1.0
Noah Edjouma,fr FRA,"MF,FW",Toulouse,fr Ligue 1,18,1.05,0.0,6,1.0
Daniel Fila,cz CZE,FW,Venezia,it Serie A,21,0.36,0.0,6,1.0
Ryan Fraser,sct SCO,"FW,DF",Southampton,eng Premier League,30,0.0,0.0,6,1.0
Santiago Giménez,mx MEX,FW,Milan,it Serie A,23,0.68,0.27,6,1.0
Hafiz Ibrahim,ng NGA,FW,Reims,fr Ligue 1,18,0.0,0.23,6,1.0
Connor Metcalfe,au AUS,"MF,FW",St. Pauli,de Bundesliga,24,0.0,0.0,6,1.0
Koji Miyoshi,jp JPN,"FW,MF",Bochum,de Bundesliga,27,0.19,0.0,6,1.0
Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,0.0,0.0,6,1.0
Benito Ramírez,es ESP,"DF,FW",Las Palmas,es La Liga,29,0.0,0.0,6,1.0
Ante Rebić,hr CRO,"FW,MF",Lecce,it Serie A,30,0.11,0.0,6,1.0
Loum Tchaouna,fr FRA,"FW,MF",Lazio,it Serie A,20,0.14,0.0,6,1.0
Nicolò Zaniolo,it ITA,FW,Fiorentina,it Serie A,25,0.0,0.0,6,1.0
