Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,0.19,0.03,7,1.0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,0.29,0.06,5,0.9999999999998472
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,0.33,0.09,5,0.999999008203696
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,0.23,0.31,3,0.9999854554592972
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,0.25,0.08,2,0.9682715227691766
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,0.0,0.0,0,0.9999999918147395
Che Adams,sct SCO,FW,Torino,it Serie A,28,0.31,0.1,5,0.9999999999999991
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,0.12,0.12,5,1.0
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,0.44,0.38,2,0.9999999999999951
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,0.16,0.16,2,0.9999999999999956
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,0.24,0.0,2,0.9999474583770747
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,0.16,0.05,2,1.0
Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,0.3,0.0,0,0.999861480550233
Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19,0.0,0.0,0,0.9999906093272964
Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,0.47,0.07,5,1.0
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,0.15,0.0,2,0.9994561933234973
Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22,0.19,0.37,7,1.0
Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,0.42,0.14,3,0.9999999999998455
Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,0.24,0.35,0,0.9962361433758246
Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,0.0,0.17,2,0.9999999999599121
Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,0.0,0.0,0,0.9996971556133947
Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,0.33,0.13,4,1.0
Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,0.17,0.22,2,1.0
Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,0.05,0.15,2,0.9999999999990301
Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,0.09,0.38,2,1.0
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,0.0,0.18,2,0.9999999999999996
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,0.0,0.0,0,0.9999999979587599
Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,0.08,0.08,2,0.9999999990115489
Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,0.0,0.0,2,0.9999999987194386
Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,0.61,0.14,1,0.9999999999999876
Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,0.0,0.24,0,0.9974144856401116
Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24,0.36,0.33,1,0.9999999999996643
Marcos André,br BRA,FW,Valladolid,es La Liga,27,0.08,0.15,2,0.9999999834052798
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,0.11,0.11,2,0.9966005712869901
Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,0.0,0.09,2,0.9999999999998836
Antony,br BRA,FW,Betis,es La Liga,24,0.33,0.13,1,0.9999999998604245
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,0.1,0.0,2,0.9999999950474536
Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,0.13,0.0,5,0.9993976855497593
Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,0.14,0.14,5,0.999997962711094
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,0.0,0.0,0,1.0
Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,0.26,0.15,2,0.9999998505215558
Marko Arnautović,at AUT,FW,Inter,it Serie A,35,0.68,0.34,0,0.9999466607761227
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24,0.25,0.0,6,1.0
Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29,0.17,0.09,2,0.9973645910515226
Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28,0.29,0.58,0,0.999999999998602
Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36,0.52,0.26,3,1.0
Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,20,0.19,0.06,2,0.9999999999995248
Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,0.0,0.0,0,1.0
